LSOA11CD,LSOA11NM,Youth(<18),Elderly(>64),No_car_household,Minority_population,Unemployed/Below_poverty
E01001719,Hackney 007E,207,158,328,547,312
E01001720,Hackney 007F,204,90,479,425,270
E01001722,Hackney 029A,527,150,574,1108,554
E01001723,Hackney 006A,469,111,398,792,480
E01001724,Hackney 006B,395,93,685,814,475
E01001725,Hackney 004A,753,102,321,737,499
E01001726,Hackney 004B,437,66,293,798,452
E01001727,Hackney 006C,699,104,298,719,454
E01001728,Hackney 029B,839,102,395,853,626
E01001729,Hackney 019A,558,100,610,1344,662
E01001730,Hackney 019B,556,147,587,1219,662
E01001731,Hackney 017A,518,107,745,1217,620
E01001732,Hackney 019C,488,125,481,1119,616
E01001733,Hackney 015A,391,123,404,782,417
E01001734,Hackney 017B,306,141,627,818,462
E01001735,Hackney 019D,372,172,400,710,394
E01001736,Hackney 012A,344,87,407,553,383
E01001737,Hackney 012B,360,103,387,563,319
E01001738,Hackney 012C,328,109,483,474,311
E01001739,Hackney 012D,368,149,517,517,346
E01001740,Hackney 014A,400,140,440,927,506
E01001741,Hackney 009A,337,94,287,407,214
E01001742,Hackney 008A,382,127,487,805,414
E01001744,Hackney 021B,355,198,459,803,445
E01001745,Hackney 016A,533,109,696,1260,679
E01001746,Hackney 016B,557,78,394,1104,549
E01001747,Hackney 014B,288,168,640,837,530
E01001748,Hackney 020A,333,119,796,924,567
E01001749,Hackney 020B,290,106,450,506,299
E01001750,Hackney 021C,327,152,498,745,489
E01001751,Hackney 021D,186,145,303,253,162
E01001752,Hackney 025A,353,120,725,924,474
E01001753,Hackney 025B,425,102,470,1039,588
E01001754,Hackney 025C,453,153,780,1019,665
E01001755,Hackney 025D,447,122,496,937,593
E01001756,Hackney 021E,235,161,610,551,364
E01001757,Hackney 016C,480,96,445,1316,586
E01001758,Hackney 016D,534,147,642,1283,642
E01001759,Hackney 016E,353,155,516,922,432
E01001760,Hackney 017C,307,147,564,887,430
E01001761,Hackney 016F,289,179,617,870,503
E01001762,Hackney 017D,244,100,561,639,433
E01001763,Hackney 020C,314,142,488,725,424
E01001764,Hackney 010A,360,111,414,868,464
E01001765,Hackney 010B,495,175,484,1195,620
E01001767,Hackney 010D,357,104,374,775,476
E01001768,Hackney 006D,321,113,380,789,440
E01001769,Hackney 006E,280,93,390,743,392
E01001770,Hackney 010E,380,153,538,1036,611
E01001772,Hackney 024A,249,70,310,669,374
E01001773,Hackney 025E,419,160,601,1065,680
E01001774,Hackney 024B,462,91,598,906,552
E01001775,Hackney 024C,423,153,528,1028,575
E01001776,Hackney 025F,263,155,450,774,494
